State,District,Volume,State_Avg,Z_Score
Karnataka,Bengaluru,546106,72794.51785714286,5.726635403308248
Gujarat,Ahmedabad,615954,119526.125,3.783682561166316
Rajasthan,Jaipur,574513,137554.0,3.6324593617120193
Telangana,K.v. Rangareddy,405867,70763.20930232559,3.4416641348877035
West Bengal,South 24 Parganas,555244,86299.83333333333,3.4246894719586263
Telangana,Hyderabad,402648,70763.20930232559,3.408603581239122
Assam,Nagaon,199461,50673.84210526316,3.396499756660246
Gujarat,Surat,558869,119526.125,3.348591121137532
Odisha,Ganjam,267846,64091.24528301887,3.1486990722057078
West Bengal,Murshidabad,513271,86299.83333333333,3.1181615280708086
